Bairro;Título;Preco;Metros_Quadrados;Classificacao_IDH;IDH_Valor;Renda_Media_Mensal;IDE_Sem_Instrucao;IDE_Fund_Med_Incomp;IDE_Medio_Comp;IDE_Superior_Comp;Classificacao_IBEU;Condicoes_Ambientais_Urbanas;Condicoes_Habitacionais_Urbanas;Preco_m2
fatima;Casa para Venda em Fortaleza, Fátima, 6 dormitórios, 3 suítes, 5 banheiros, 4 vagas;750000;319;Alto (0,5001-0,7000);0,694795867;1756,11;14,820940358;13,187295372;38,876700307;32,733655112;0,901-1,000 (Muito alto);0,968426708;0,956876508;2351,097179
pici;Casa para Venda em Fortaleza, Pici, 4 dormitórios, 3 suítes, 4 banheiros, 2 vagas;550000;85;Muito baixo (0,0000-0,2500);0,218649272;424,62;48,825123634;21,871420189;23,201363471;3,436618144;0,801-0,900 (Alto);0,714538444;0,763399591;6470,588235
henrique jorge;Casa para Venda em Fortaleza, Henrique Jorge, 5 dormitórios, 4 suítes, 5 banheiros, 4 vaga;695000;250;Baixo (0,2501-0,3500);0,340810388;551,52;39,446985766;21,568577343;33,881066162;4,794152973;0,801-0,900 (Alto);0,83456882;0,853452247;2780
de lourdes;Casa para Venda em Fortaleza, De Lourdes, 6 dormitórios, 6 suítes, 6 banheiros, 10 vagas;13800000;3000;Alto (0,5001-0,7000);0,641826217;3211,09;28,634744959;12,451002997;30,174467758;27,458816899;0,901-1,000 (Muito alto);0,885440082;0,851718415;4600
jardim das oliveiras;Casa para Venda em Fortaleza, Jardim das Oliveiras, 4 dormitórios, 2 suítes, 3 banheiros,;650000;230;Baixo (0,2501-0,3500);0,270016708;474,77;36,116420294;18,467084412;29,666368277;14,104952459;0,801-0,900 (Alto);0,782830885;0,853864084;2826,086957
siqueira;Casa a venda em Fortaleza( Siqueira);180000;125;Muito baixo (0,0000-0,2500);0,148674574;326,8;59,076550103;19,640758155;19,736262122;0,955039671;0,001-0,500 (Muito baixo);0,621429182;0,739200053;1440
bela vista;Vendo - Casa Em Fortaleza - Bairro Bela Vista;100000;140;Médio (0,3501-0,5000);0,375255922;636,82;37,362884205;19,572460784;34,603721313;6,940960653;0,801-0,900 (Alto);0,894409966;0,835727395;714,2857143
joaquim tavora;Casa para Venda em Fortaleza, Joaquim Távora, 5 dormitórios, 3 suítes, 4 banheiros, 4 vaga;750000;300;Alto (0,5001-0,7000);0,662519548;1446,03;21,701616731;12,380978974;36,327590540;29,506045291;0,901-1,000 (Muito alto);0,966210918;0,949667769;2500
antonio bezerra;Casa à venda em Fortaleza/CE 63,34 m², Bairro Antônio Bezerra;175000;63;Baixo (0,2501-0,3500);0,348309204;556,87;39,125285008;16,641497143;36,244114773;7,464984750;0,801-0,900 (Alto);0,895516195;0,840697664;2777,777778
parque presidente vargas;Vendo casa em Fortaleza;130000;400;Muito baixo (0,0000-0,2500);0,135189475;287,92;40,716622931;22,895001134;31,373311303;3,038844073;0,501-0,700 (Baixo);0,763056734;0,855758255;325
